epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,71.4933,1.05018,1.21601,1.19065,0.80759,0.66786,0.77145,0.59732,0.9202,0.7611,1.02492,1.785e-05,1.785e-05,1.785e-05
2,139.562,1.10441,1.16379,1.19143,0.80532,0.70092,0.78921,0.60973,0.90844,0.73765,1.01715,3.61596e-05,3.61596e-05,3.61596e-05
3,206.732,1.05392,1.07868,1.16005,0.82636,0.69025,0.79576,0.61285,0.89795,0.73635,1.0135,5.37152e-05,5.37152e-05,5.37152e-05
4,278.451,1.03493,1.00229,1.16206,0.80477,0.72797,0.80865,0.62487,0.88458,0.72954,1.0071,7.05168e-05,7.05168e-05,7.05168e-05
5,346.985,0.9713,0.89581,1.13681,0.79313,0.75767,0.81911,0.63099,0.87545,0.72625,1.00034,8.65644e-05,8.65644e-05,8.65644e-05
6,411.927,0.95138,0.85075,1.1172,0.77844,0.77185,0.82341,0.64619,0.86567,0.72185,0.99614,0.000101858,0.000101858,0.000101858
7,476.265,0.98664,0.87203,1.10715,0.87642,0.73868,0.82592,0.65586,0.85646,0.69321,0.99087,0.000104863,0.000104863,0.000104863
8,540.593,0.98715,0.87445,1.09858,0.87117,0.75706,0.83293,0.66743,0.84826,0.67352,0.98689,0.000102507,0.000102507,0.000102507
9,604.222,0.94413,0.84103,1.09511,0.87605,0.7576,0.84089,0.67087,0.83429,0.65403,0.98004,0.00010015,0.00010015,0.00010015
10,680.957,0.95896,0.8227,1.10446,0.85635,0.77442,0.84457,0.67857,0.82675,0.62837,0.97654,9.77942e-05,9.77942e-05,9.77942e-05
11,856.21,0.95332,0.82822,1.10678,0.83989,0.79267,0.84908,0.6821,0.81961,0.60701,0.97219,9.5438e-05,9.5438e-05,9.5438e-05
12,919.789,0.88081,0.79491,1.06865,0.88443,0.77263,0.85438,0.6856,0.80917,0.60057,0.96566,9.30818e-05,9.30818e-05,9.30818e-05
